doc_id,topic,text
24,sales,brand shop system invoice basket market system delivery task system offer discount time user analysis offer customer customer current platform event time market product user checkout campaign product updated shop review campaign time customer product discount
25,support,daily external case reset targeted response observed ticket observed device device update request issue error event user service install updated problem external updated external screen reset client request manual user user error request user user help external daily value
26,analytics,cluster analysis report manual signal trend query pipeline data team vector metric session signal segment forecast regional signal external automatic analysis current
27,sales,promo current updated invoice payment value user discount message record daily order result record payment regional observed cart offer product shop checkout campaign checkout internal order discount offer process result basket result result payment updated order checkout critical primary analysis
28,security,message analysis login spam attack session attack certificate threat event session blocked observed daily alert threat daily spam primary team threat domain platform policy spam attack auth session certificate suspicious suspicious malware result
29,security,domain risk threat critical malware blocked alert attack token attack observed auth automatic automatic record event time attack primary record phishing updated central team daily message certificate attack value login spam event policy external policy spam url domain blacklist
30,analytics,measure central report system query value team trend analysis metric query pattern pipeline critical feature user forecast task cluster pattern feature primary report
31,security,malware login internal session automatic blocked blocked event incident analysis current incident result suspicious breach analysis alert blocked blocked time task blocked system observed login system alert blocked manual malware risk
32,analytics,event metric measure forecast report forecast query pipeline user task trend system event model event automatic user team user time team metric cluster
33,sales,shop shop central central result critical primary shop value result payment internal record process customer user internal delivery offer campaign delivery invoice targeted invoice order event primary campaign delivery cart event process discount invoice invoice task campaign
34,analytics,metric pattern vector targeted dataset observed event score experiment forecast dataset metric message metric task dataset dataset critical query pattern record experiment measure forecast event vector pipeline trend record data pattern pipeline measure session measure process process report trend model segment
35,support,support reset install account time install update analysis install team issue install external response install data observed process service critical client event value screen primary support response time resolution client ticket screen error response issue error
36,analytics,metric pipeline metric critical external vector report analysis automatic user manual automatic measure record task session experiment message automatic segment experiment trend task metric updated variance process model internal session internal regional primary feature model report
37,analytics,message trend session pattern task model query trend current cluster event critical signal model metric dataset query manual dataset experiment manual dataset report experiment dataset query model query central segment vector value record central measure metric process feature cluster dataset feature model report
38,support,service critical targeted automatic current account data ticket central support problem external client client automatic current user task error response error automatic update internal team user automatic account manual response update analysis data screen task issue response
39,security,attack policy firewall system record firewall manual manual attack login platform threat token regional risk phishing breach process domain data policy attack risk malware analysis value task certificate value analysis token user regional blocked breach risk process risk threat url domain blacklist
40,support,team issue result ticket event session install screen help response service task support reset message error primary account case client problem case analysis issue client event regional issue update device user session help device internal task case screen data problem
41,support,system case client support case automatic case response central ticket update automatic support help issue record platform result targeted message updated device central task ticket error reset
42,security,suspicious domain value suspicious firewall message manual alert blocked platform auth regional threat auth observed data user token task team firewall risk url domain blacklist
43,support,ticket time account event critical device client screen case case error automatic error result automatic client screen current resolution install daily issue support case ticket error reset
44,sales,invoice payment campaign time offer task user targeted team promo critical current record campaign data cart message time observed review offer promo analysis critical cart delivery analysis market
45,sales,delivery system value automatic updated promo task brand brand session session record brand data daily platform market cart delivery process invoice
46,sales,discount basket manual manual customer discount time event review review cart campaign checkout cart customer updated regional customer internal discount product basket daily cart shop
47,support,resolution device system resolution process device support response platform support device response account install response problem result result observed reset client account
48,analytics,user pipeline session pattern segment query report targeted model time pattern daily analysis vector user metric platform model event analysis variance pipeline metric measure query metric trend forecast cluster metric session daily metric dataset system
49,security,token current data phishing platform data event domain central current breach team token targeted alert task system alert system breach incident primary threat policy user spam login event central primary alert breach url domain blacklist
50,security,breach critical domain breach firewall user regional breach spam login targeted risk certificate primary analysis result token risk critical spam policy suspicious result external firewall login time url domain blacklist
51,security,event automatic malware blocked record internal suspicious record risk data spam attack automatic threat time user internal platform result daily primary analysis spam blocked certificate daily analysis manual process auth domain alert value risk token process internal firewall url domain blacklist
52,sales,brand record brand campaign targeted customer market basket promo regional manual process manual system basket data invoice user campaign observed brand user task delivery regional value value customer record checkout team offer task session
53,sales,shop task delivery product current central data customer checkout automatic review event event record basket customer product message review campaign task process invoice regional internal offer customer product discount
54,sales,offer manual observed delivery offer data checkout offer event event primary system delivery product platform price campaign time market message campaign value price manual result invoice offer time automatic current user checkout customer product discount
55,support,analysis data automatic result install observed system task system record screen request service external regional case device system case device result system problem screen client request daily request reset service
56,support,request account central issue daily request task result problem update support problem external data manual client client issue account data ticket issue screen device request analysis critical service response value observed device observed support request install record reset critical client
57,analytics,forecast forecast signal user score system measure forecast trend measure user observed forecast result dataset current time manual external critical
58,analytics,variance experiment updated experiment targeted vector observed signal pipeline central pattern feature critical dataset updated variance message measure metric targeted score process signal metric manual cluster dataset feature primary measure metric record measure daily segment dataset pattern variance
59,sales,discount order team value product task record invoice market review product offer session central price event time current central customer cart customer discount event market review payment daily result customer product discount
60,analytics,query feature signal vector score system query primary process analysis forecast report data event score message dataset signal message cluster data pattern message value model primary current report manual variance measure feature model report
61,sales,cart promo critical offer regional shop result result promo central targeted review basket session updated result review review price analysis time customer product discount
62,sales,analysis product shop automatic data invoice event delivery updated basket invoice time delivery analysis platform customer process discount event time market campaign customer review task session regional primary payment price campaign customer product discount
63,sales,basket event basket user invoice internal regional campaign offer market customer price time product record data event value market current checkout automatic brand product cart review payment promo order payment promo primary
64,sales,delivery basket payment market payment automatic offer regional basket data brand event event observed offer invoice price delivery record order session manual discount system customer product discount
65,analytics,trend score targeted query variance report model team signal pattern updated trend forecast daily platform team pipeline time dataset cluster segment result pattern process variance trend platform trend metric trend query pattern critical user session trend data dataset
66,sales,cart product invoice regional current value event review checkout updated regional price session data cart discount record offer shop delivery customer value automatic discount checkout price automatic cart offer delivery platform current basket analysis basket brand platform invoice brand result order customer product discount
67,sales,review campaign campaign promo checkout data cart discount basket task user central customer analysis critical checkout session event process market customer product discount
68,security,risk attack event certificate auth certificate firewall primary firewall current certificate platform manual firewall breach value targeted session malware manual url domain blacklist
69,security,login policy primary data firewall record token login certificate time login blocked alert domain breach malware login firewall record risk blocked
70,security,alert malware alert critical phishing spam analysis team token suspicious automatic system session suspicious alert certificate domain team
71,sales,data event primary cart market result current daily campaign value session invoice updated brand process shop discount offer daily primary data checkout external event customer observed discount customer analysis brand payment delivery user promo price product delivery regional value promo customer product discount
72,security,certificate attack auth daily malware system phishing auth critical analysis suspicious certificate token suspicious analysis domain login observed blocked threat event result central phishing breach record data breach certificate spam url domain blacklist
73,support,help response message process account service central install updated current request ticket resolution problem issue issue issue account resolution update support help result update automatic targeted request ticket error reset
74,sales,external record invoice campaign price event product customer cart updated record team time customer shop promo internal primary invoice shop team manual order process market shop market primary central
75,analytics,variance cluster team forecast session vector primary task measure external team automatic forecast metric user team pattern cluster report forecast feature event event segment message system experiment process process message query value manual pipeline score trend record current current
76,analytics,data signal segment measure pipeline feature automatic segment dataset forecast dataset model signal primary feature automatic dataset report data pattern signal analysis pipeline task segment vector vector pattern manual daily external segment feature forecast feature model report
77,sales,promo checkout offer checkout daily record product discount targeted regional central discount cart platform session promo offer value current regional discount value
78,sales,team promo market campaign daily payment observed promo payment record customer promo critical brand automatic invoice checkout invoice promo discount product session delivery payment customer payment market customer product basket data analysis invoice basket market internal team analysis basket customer product discount
79,sales,order checkout payment observed internal customer event offer shop regional checkout discount observed invoice cart basket product platform session market internal record time basket shop team delivery offer current delivery system session market market payment campaign record targeted platform
80,support,issue request result message help client critical session screen service client update account updated problem updated problem device screen reset external client help case manual support support team manual case time update help message value service automatic resolution response ticket error reset
81,support,resolution service updated process request account support data install reset service critical update primary install response critical error primary problem support daily case screen value record message problem support problem result service response issue
82,security,critical team result token phishing alert incident token firewall suspicious task record value risk blocked incident certificate spam incident spam message login message critical current risk threat task threat domain risk token phishing session event breach system
83,support,screen support client critical screen response screen update error client regional primary time central update service reset support
84,security,updated internal blocked message platform firewall manual event threat domain message token auth attack targeted automatic primary phishing
85,support,case device event daily manual case time result message service resolution account problem error time ticket screen team updated support regional manual update problem client task response result error error result help primary
86,sales,review customer discount targeted shop regional review invoice product current record payment delivery shop invoice shop regional checkout offer data system value customer current market product delivery manual market price product cart critical result customer product discount
87,security,automatic updated login spam domain blocked phishing alert suspicious analysis threat internal incident certificate record blocked token team malware phishing token firewall session team current current team message incident phishing process external primary value url domain blacklist
88,support,result result reset case ticket task service primary case result observed service analysis help client service result analysis install reset problem support case problem central install process screen team support problem problem result
89,sales,product internal product product message cart message user daily basket cart event payment automatic manual external order daily cart central customer product campaign current system customer product discount
90,sales,platform record basket data promo regional result product market platform price event session promo brand product message current offer offer basket shop discount invoice basket result promo record price analysis
91,support,current case problem screen install help client time central response regional process screen support time install data problem client update team case device session record current issue response device account daily support install request record request regional record task ticket help
92,analytics,trend segment process pipeline segment targeted team analysis pattern cluster time observed user user pattern query observed analysis pattern internal variance variance automatic metric metric dataset
93,analytics,session variance measure internal metric task forecast metric metric metric experiment updated query cluster record pipeline query observed cluster report experiment feature model report
94,security,login firewall regional central message updated policy critical event token suspicious malware domain observed session threat certificate certificate threat login suspicious firewall data policy
95,sales,customer promo promo checkout market value record market value market session product customer task message shop critical automatic
96,sales,automatic daily daily offer cart offer checkout user order invoice result central task event checkout external order campaign
97,sales,brand product customer campaign central user review automatic promo price product shop payment price basket campaign data discount offer price offer value checkout session brand time review shop payment delivery invoice market record market data product manual internal
98,security,external external alert login breach auth result phishing certificate automatic spam suspicious suspicious auth targeted automatic breach user message user external threat blocked targeted regional team
99,analytics,forecast external segment analysis model user manual pipeline segment report measure model experiment record vector score forecast value
100,support,install value team install ticket reset event platform issue help resolution issue updated manual install user install automatic error ticket issue reset ticket error reset
101,support,value resolution data value device updated problem install session screen help problem help primary reset account user regional internal system support automatic primary device
102,support,support update record request device current reset help request request user team problem task user case result issue device critical support team request device problem session resolution service support message data result record external service service error screen account team ticket
103,security,targeted blocked system updated breach login certificate phishing domain critical firewall analysis policy platform suspicious threat blocked message blocked user current time team
104,sales,order shop invoice discount customer basket order offer shop event offer shop targeted payment payment record central primary customer product discount
105,support,error primary platform issue client targeted update analysis data problem team user external support update install regional device resolution result
106,sales,product event promo order session customer promo product promo basket team discount time data basket review cart discount platform data review payment price market discount user product customer campaign current offer market customer product discount
107,security,central team domain domain malware attack automatic suspicious risk observed risk session breach login incident analysis process token token blocked updated incident process phishing time user suspicious
108,analytics,segment cluster system report record score central pipeline query experiment updated measure segment signal model segment manual data
109,security,malware alert manual risk platform risk risk firewall external updated blocked phishing threat session task updated primary platform
110,support,manual current request help regional account critical client response resolution problem account value automatic targeted device regional record resolution regional support critical install ticket resolution client critical result device ticket error reset
111,security,token external certificate certificate central alert incident automatic targeted domain threat manual risk primary updated critical login token policy
112,analytics,score value model vector internal regional experiment feature observed observed user score vector automatic targeted score platform data automatic regional task feature task score model
113,sales,basket manual cart event order customer system team primary session product central cart checkout campaign discount event checkout delivery customer product discount
114,analytics,feature segment experiment session pattern feature query signal metric variance cluster process targeted signal central experiment analysis system score feature platform segment pipeline measure query signal message experiment
115,sales,discount time customer checkout shop automatic promo promo market team internal promo promo payment time market price cart updated delivery basket shop payment result primary manual brand promo time critical current shop customer product discount
116,support,time result primary response request device critical result reset manual resolution request error response client issue update platform analysis account ticket error reset
117,support,problem response daily record request reset manual updated account screen device update task targeted message manual screen request account error time team
118,sales,offer internal analysis product checkout payment shop payment internal order analysis invoice session invoice system brand brand review data market review discount analysis record data checkout cart brand market promo process order checkout
119,analytics,record forecast report model experiment forecast vector metric updated internal vector experiment variance platform score targeted regional experiment forecast feature score feature signal
120,support,team client session support update client request problem data session install device regional updated resolution platform install update problem update process client team response case task support service message manual account process resolution task ticket daily install install account ticket error reset
121,analytics,data daily record pattern time model feature message variance feature pipeline data time experiment variance session forecast session message cluster data signal pattern segment variance measure critical metric targeted query data feature model report
122,support,current device device install update regional help analysis event case account data client record resolution record install analysis install case message case issue updated ticket case session install error screen system value ticket error reset
123,security,time threat analysis manual data event event central observed value task event attack message blocked malware certificate data phishing auth data alert user suspicious manual alert updated observed auth threat critical malware central login threat platform url domain blacklist
124,sales,campaign promo customer payment value daily market platform promo process offer campaign checkout task checkout delivery shop updated user brand checkout result message invoice offer value market shop data current payment invoice message user observed internal shop offer
125,security,event alert suspicious record policy auth team automatic record token login auth current record automatic threat alert user blocked blocked internal attack daily
126,sales,customer order basket updated cart platform product user checkout result review targeted analysis market event invoice basket market analysis session time offer offer regional manual shop order shop customer platform price order checkout offer checkout record result
127,security,policy attack spam alert token task policy risk auth central blocked login threat team alert login observed session certificate targeted value firewall attack attack domain suspicious login suspicious blocked system critical incident event spam breach automatic team message manual primary url domain blacklist
128,analytics,variance segment value report external pattern external value event daily score automatic feature task message model dataset platform task regional central observed feature process variance daily query automatic feature
129,support,platform response external regional observed updated time screen screen record account case data help install task client screen team device error account client install ticket
130,analytics,vector data vector vector primary pipeline primary daily model dataset report segment daily pipeline regional process message model dataset cluster current targeted targeted metric feature score current pattern variance data cluster metric experiment query targeted score regional experiment variance pattern
131,security,breach token token phishing threat team policy phishing platform login alert policy malware firewall incident risk internal phishing alert alert critical threat token threat blocked
132,support,regional primary message current value issue service result update updated problem updated response device platform manual record help task result process system ticket response help event screen record observed current response device
133,security,analysis process process token spam spam auth firewall token login blocked auth malware external regional team record risk
134,security,auth attack phishing spam firewall primary daily manual risk certificate updated risk risk alert observed event blocked malware current session updated auth login url domain blacklist
135,security,breach value blocked daily targeted incident session data token incident suspicious login platform token external data threat user value malware daily user internal analysis team
136,sales,internal discount checkout task review discount cart delivery process internal analysis session customer delivery checkout user external event promo process message message offer critical basket customer critical brand promo brand time manual result customer product discount
137,sales,brand external offer market brand data checkout payment updated review targeted payment customer offer shop offer product message brand discount daily automatic brand campaign product record updated basket product delivery delivery promo order shop campaign checkout result customer promo
138,analytics,task observed metric segment score pipeline feature automatic pattern task cluster pattern team variance experiment cluster metric forecast pipeline forecast
139,sales,promo campaign brand shop time market basket time price central brand customer shop price regional payment checkout internal discount invoice market process record brand
140,support,problem task update ticket problem observed request account primary help issue update account task task install account service ticket error reset
141,support,external help help service service screen response response error support request account primary daily device service error screen error time record value client response device help service record case
142,analytics,dataset pipeline pipeline process query value pattern metric measure user time manual observed user record record pipeline report query score automatic measure task cluster current vector task pipeline system trend variance system external event time analysis segment regional process analysis model
143,sales,customer basket system basket payment current basket shop customer discount product order value cart campaign platform value primary manual customer market promo shop shop campaign central customer cart checkout payment event payment session customer product discount
144,support,current help request resolution system platform session device service ticket issue message process result platform ticket case case task error update
145,analytics,team manual trend experiment model trend trend score experiment task report current signal time central report result team model result vector experiment targeted feature variance score process feature pipeline task observed score
146,support,device support update help problem screen request value observed client case task error service install problem external resolution case targeted install issue help automatic reset install team task reset record client user update reset
147,support,install platform response session support reset help daily targeted help error help system user data result observed issue reset screen
148,security,auth team daily task analysis blocked phishing attack auth time alert central domain breach user event blocked targeted url domain blacklist
149,sales,campaign message team invoice delivery manual market cart price user invoice observed session promo market critical delivery brand promo time delivery promo order offer delivery customer checkout system task data record order delivery cart customer promo checkout analysis review customer product discount
150,security,automatic login record alert firewall internal certificate risk event auth domain daily system domain malware daily record token data result primary risk login domain time value token platform result alert
151,sales,review system delivery system task brand offer shop offer customer process process user external checkout delivery process central delivery delivery product delivery invoice analysis customer event price customer product discount
152,support,service team request reset primary message platform issue reset request client resolution account ticket reset message request device reset
153,sales,time system payment brand result discount promo cart critical cart data central price payment delivery campaign task discount event campaign event order checkout platform manual updated offer product automatic delivery task time record shop price order discount delivery automatic
154,sales,market discount regional current internal cart value basket delivery time primary price time review process price campaign message observed offer delivery promo current central price brand value product offer discount current customer product discount
155,security,incident breach blocked updated user system incident incident incident primary policy phishing critical targeted attack daily threat attack url domain blacklist
156,sales,campaign customer checkout customer manual product discount product review basket team automatic order payment price promo process value invoice process invoice brand platform cart customer product discount
157,security,session primary certificate threat task alert analysis threat risk targeted risk threat regional result auth time spam value certificate login attack event token analysis targeted external task breach url domain blacklist
158,security,domain risk phishing attack analysis risk risk primary domain incident risk certificate breach primary breach team login alert policy domain spam critical policy platform observed spam url domain blacklist
159,security,central suspicious analysis phishing session certificate certificate suspicious login process auth data malware suspicious phishing incident spam updated login daily value spam phishing incident url domain blacklist
160,support,support system reset request problem session update session account value request account regional platform request account updated screen install case account help service primary issue user daily automatic client daily
161,security,phishing incident regional attack certificate message value domain malware external certificate incident login threat alert risk login phishing data firewall regional internal blocked team data url domain blacklist
162,security,breach malware suspicious phishing suspicious primary manual internal data blocked time firewall session record policy incident current malware login domain alert suspicious spam phishing certificate policy critical certificate task event policy auth
163,security,domain login time breach spam current automatic incident blocked policy phishing critical incident blocked domain attack incident incident spam
164,analytics,central trend forecast message model vector event regional cluster cluster trend observed forecast dataset task dataset analysis user platform signal external current metric model variance
165,support,system result team ticket account record observed observed service account time error request primary problem internal platform record platform targeted support ticket system primary user screen issue device request system error
166,support,service event issue issue install issue reset event observed automatic service value primary internal issue problem message targeted install response device
167,sales,order session central primary order basket delivery targeted result campaign shop offer invoice manual customer shop campaign invoice campaign payment platform invoice product time critical customer product discount
168,sales,market order order system cart process message result discount cart central review internal payment order record task market payment order manual order task
169,security,suspicious manual phishing result blocked firewall blocked incident attack alert threat task certificate value login login domain manual daily time spam targeted observed auth firewall url domain blacklist
170,security,manual incident incident malware updated attack threat session alert manual observed certificate policy certificate alert attack alert attack suspicious event task certificate firewall value certificate policy value threat platform firewall team regional auth value incident url domain blacklist
171,security,event token login task internal domain suspicious team token malware phishing spam record event suspicious manual analysis regional incident
172,support,request reset issue support screen account error team automatic platform daily support current resolution request current updated message reset case problem update client device issue support
173,support,ticket problem client resolution event request time team data error request problem resolution issue problem request help resolution external task event ticket error reset
174,analytics,forecast metric message user value dataset automatic score measure pattern regional report metric data event segment result score pattern data pattern experiment automatic cluster dataset experiment metric trend process trend trend trend feature model report
175,sales,record internal cart market central system customer platform brand result price campaign price result payment basket order process discount record central basket discount shop price value customer product discount
176,support,task account error request screen targeted problem record problem case service help event event analysis ticket update session service install account device system request critical user observed daily request task resolution primary response help request case ticket error reset
177,analytics,forecast task vector time record current score pipeline time event cluster signal result trend score trend trend platform vector observed external
178,sales,system targeted brand updated current record manual review automatic payment platform review daily shop task regional current message data central review offer price shop review customer record offer market campaign shop task invoice critical invoice offer regional payment customer product discount
179,sales,session central promo basket cart updated message delivery delivery session central discount cart market brand current manual shop checkout campaign cart message automatic campaign task cart
180,support,problem ticket observed error current device data help case reset team team account screen install record value targeted platform external install service time resolution issue internal record central account response update install external platform response time error error
181,sales,customer offer delivery product record event data analysis regional internal payment internal discount discount shop promo cart shop customer product discount
182,sales,team automatic daily analysis brand review result platform order order market internal cart session discount order order data internal payment price targeted review system customer discount promo observed shop payment basket shop time discount market market invoice product
183,analytics,result measure record pipeline metric analysis pipeline segment report report message targeted trend dataset score internal report query platform vector experiment signal value experiment forecast metric experiment report report message vector pipeline regional data variance event user updated platform user segment
184,support,time data update resolution screen automatic account install session ticket account update case request value update install updated record install external resolution error event daily install data targeted reset ticket error reset
185,support,targeted ticket data client install case case client updated screen response resolution screen team problem system primary value ticket device team response ticket error reset
186,sales,order analysis market brand payment delivery delivery promo system current platform team value price review internal product invoice campaign value offer value primary review payment customer product discount
187,support,support update event account primary support service support resolution issue support team help response process client system issue service result service case reset update ticket error reset
188,support,targeted service case error current manual response service record response analysis team result response screen event install request value central client install reset error critical help ticket user support reset critical
189,analytics,cluster automatic cluster central task updated value score data trend regional dataset variance trend trend manual message automatic measure observed score value feature model report
190,analytics,value value message query experiment regional pattern regional pattern updated trend session analysis user vector updated score external dataset cluster vector forecast event feature model report
191,security,task current threat current malware spam observed certificate data suspicious alert blocked process blocked firewall policy certificate policy attack certificate alert auth spam task attack alert central spam certificate alert phishing auth phishing malware data platform url domain blacklist
192,support,value critical screen platform current device ticket error team task screen device value critical request screen issue regional install error central help central session device process problem case reset central central message request current account reset issue device support
193,support,observed error user reset screen request external device device internal account time install help ticket device error reset install device critical support ticket screen resolution result account problem ticket client resolution case issue update external response ticket error reset
194,support,response issue support case response record help request record targeted request targeted service screen problem update analysis request screen issue account daily analysis user updated analysis
195,security,firewall login session daily observed malware platform task spam auth team spam analysis blocked alert firewall spam certificate current phishing targeted token manual alert attack
