variant_number,variant_title,main_file,reference_file,stream_file,time_col,entity_id_col,category_col,value_col,status_col,join_key,pz31_notebook_file,pz32_notebook_file,consistency_note
11,Продажи и посещаемость розничной сети,variant_11_main.csv,variant_11_reference.csv,variant_11_stream.csv,sale_time,store_id,product_group,receipt_amount,status,store_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
12,Заявки службы технической поддержки,variant_12_main.csv,variant_12_reference.csv,variant_12_stream.csv,created_at,ticket_id,ticket_category,resolution_hours,status,agent_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
13,Публикации и активность в социальной платформе,variant_13_main.csv,variant_13_reference.csv,variant_13_stream.csv,event_time,author_id,interaction_type,engagement_score,status,author_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
14,Данные энергопотребления объекта,variant_14_main.csv,variant_14_reference.csv,variant_14_stream.csv,reading_time,meter_id,zone_type,consumption_kwh,status,meter_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
15,Дорожная обстановка и транспортные события,variant_15_main.csv,variant_15_reference.csv,variant_15_stream.csv,event_time,road_segment_id,event_type,speed_kmh,status,road_segment_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
16,Сельскохозяйственные данные и мониторинг полей,variant_16_main.csv,variant_16_reference.csv,variant_16_stream.csv,observation_time,field_id,indicator_type,indicator_value,status,field_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
17,Транзакции и действия пользователей интернет-магазина,variant_17_main.csv,variant_17_reference.csv,variant_17_stream.csv,event_time,customer_id,event_type,cart_value,status,customer_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
18,Документы и контракты организации,variant_18_main.csv,variant_18_reference.csv,variant_18_stream.csv,created_at,contract_id,document_type,amount_rub,status,contract_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
19,Журналы киберинцидентов и событий безопасности,variant_19_main.csv,variant_19_reference.csv,variant_19_stream.csv,event_time,host_id,event_category,severity_score,status,host_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
20,Туристические потоки и загрузка инфраструктуры региона,variant_20_main.csv,variant_20_reference.csv,variant_20_stream.csv,event_time,location_id,event_type,revenue_rub,status,location_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
